Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,10.20 am,,"bathing,washing,tourism spot",none,none,sunny,Greater than 1mt,no,colourless,odourless,,28.3,6.1,8.15,356,1.4,2.8,,Less than 1.8,32,Less than 1.8,,,,12,5,100,32,16,1.5,0.4,,102,22.4,56,11.18,46,28,,220,160,10,0.59,,0.5,,0.43,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,11.05 am,,"bathing,washing,tourism spot",none,none,sunny,Greater than 1mt,no,colourless,odourless,,28.6,6,8.17,358,1.6,3.16,,Less than 1.8,33,Less than 1.8,,,,6,5,96,32,20,1.5,0.4,,102,23.2,58,10.69,44,28,,218,150,10,0.63,,0.5,,0.42,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,09.30 am,,fishing,none,none,sunny,Greater than 1mt,no,colourless,odourless,,28.2,6.2,8.24,422,1,1.48,,Less than 1.8,27,Less than 1.8,,,,6,5,140,38,12,1.5,0.4,,146,31.2,78,16.52,68,28,,255,180,10,0.75,,0.5,,0.48,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,Warangal,06.12.2023,10.50 am,,"fishing,boating",none,none,cloudy,Greater than 1mt,no,colourless,odourless,,26,5.23,8.05,402,2.8,2.4,,Less than 1.8,58,Less than 1.8,,,,8,5,102,44,19,1.5,0.4,,115,29.6,74,9.96,41,28,,244,160,10,0.48,,0.5,,0.62,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,Warangal,06.12.2023,10.55 am,,others,none,none,cloudy,Greater than 1mt,no,clear,odourfree,,26,3.8,7.95,438,4.2,2.6,,Less than 1.8,70,Less than 1.8,,,,14,5,112,42,47,2.2,0.4,,100,27.2,68,7.78,32,32,,272,160,10,0.62,,0.5,,1.89,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,Warangal,06.12.2023,08.00 am,,others,none,none,cloudy,Greater than 1mt,no,clear,odourfree,,26,4.24,7.92,644,3.2,3.22,,Less than 1.8,84,Less than 1.8,,,,10,5,138,97,35,1.5,0.4,,195,50.4,126,16.77,69,40,,412,280,12,0.26,,0.5,,0.32,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,Warangal,Warangal,06.12.2023,11.12 am,,others,industrial effluents,none,raining,Less than 50 cm,no,clear,odourfree,,26,2.76,8.49,680,2,1,,Less than 1.8,26,Less than 1.8,,,,8,6,128,102,22,1.5,0.4,,186,46.4,116,17.01,70,44,,434,280,10,0.6,,0.5,,0.46,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,Warangal,05.12.2023,08.20 am,,fishing,none,none,cloudy,Greater than 1mt,no,clear,odourfree,,26,5.8,8.23,544,1,2.96,,2,70,Less than 1.8,,,,6,5,114,73,12,1.5,0.4,,160,40.8,102,14.09,58,32,,344,220,11,0.24,,0.5,,0.42,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,ZL-RCP,2023-12-05 00:00:00,10:30:00,Irrigation & Drinking,Fishing & Boating,None,None,Clear,13 Mtrs,No,Clear,None,Low,25 oC,7.6,7.93,561,2.2,25,0.05,3.7,17,Less than 1.8,,,,3.2,20,140,75,22,6,,,165,100,40,65,16,35,32,336,238.56,7,,0.12,BDL,3.2,0.12,28.95,0.97
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,ZL-RCP,2023-12-20 00:00:00,14:45:00,Irrigation & Drinking,"Drinking, Bathing & Fishing",None,None,Cloudy,5 Mtrs,No,Clear,None,Low,25 oC,7.4,8.12,584,3.1,26,0.06,4,34,3.6,,,,3.1,12,125,90,32,8,,,185,120,48,65,16,40,32,356,252.76,8,,0.1,BDL,4,0.22,26.62,0.89
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,ZL-RCP,2023-12-20 00:00:00,12:30:00,Irrigation,None,None,None,Cloudy,3 Feets,No,Clear,None,Low,22 oC,6.2,8.34,749,3.2,26,0.05,8.2,49,4.5,,,,3.2,20,135,86,28,8,,,215,135,54,80,19,50,23,419.44,297.8,7,,0.11,BDL,3,0.32,18.66,0.6
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-12-20 00:00:00,10:50:00,Irrigation,None,None,None,Cloudy,4 Feets,No,Clear,None,Low,20 oC,6.4,7.32,890,3.1,28,0.05,6.8,32,5.6,,,,3.6,24,170,130,30,10,,,305,205,82,100,24,70,28,498.4,353.86,7,,0.15,BDL,3.6,0.3,16.43,0.6
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-12-20 00:00:00,11:45:00,Irrigation,None,None,None,Cloudy,4 Feets,No,Clear,None,Low,21 oC,6.5,7.26,1212,3,25,0.11,6.8,39,4.5,,,,3.3,24,225,215,40,8,,,445,245,98,200,49,80,32,678.72,481.89,7,,0.12,BDL,4.4,0.7,13.27,0.62
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,10:45:00,Domestic,None,IDA Patancheru,Municipal Sewage,Cloudy,2 Feets,Yes,Light Brown,Soapy,Low,19 oC,5.4,7.3,1472,3.5,35,0.11,8.1,79,6.8,,,,5.1,28,230,220,46,9,,,440,245,98,195,47,92,44,824.32,585.27,6,,0.2,BDL,5.2,0.15,17.61,0.86
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,ZL-RCP,2023-12-18 00:00:00,09:45:00,Irrigation & Bathing,Bathing & Fishing,None,None,Cloudy,1 mtrs,Yes,Clear,None,Low,18 oC,7.3,7.74,1120,4,41,0.13,5.5,47,Less than 1.8,,,,3.3,20,210,140,32,9,,,324.92,185,74,139.92,34,90,52,627.2,445.31,8,,0.15,BDL,5.8,0.45,25.28,1.16
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,08.30 am,,fishing,none,none,sunny,,none,colourless,odourless,,27,6,8.22,516,1.2,2.12,,Less than 1.8,21,Less than 1.8,,,,21,5,142,48,16,1.5,0.4,,150,33.6,84,16.04,66,32,,330,236,28,0.64,,0.5,,0.55,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,07.00 am,,washing,none,none,sunny,,none,colourless,odourless,,26,6.2,8.28,644,1,1.46,,Less than 1.8,39,Less than 1.8,,,,8,5,188,50,8,1.5,0.4,,200,50,125,18.22,75,37,,420,300,10,0.58,,0.5,,0.49,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,01.12.2023,07.50 am,,washing,M/s.KTPS,ash,sunny,,none,colourless,odourless,,26.5,6,8.2,590,1.2,2.2,,Less than 1.8,32,Less than 1.8,,,,12,5,168,52,16,1.5,0.4,,154,35.2,88,16.04,66,38,,328,240,10,0.72,,0.5,,0.54,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,Warangal,07.12.2023,11.45 am,,"bathing,washig,cultivation,fishing,boating,gardening,tourism spot,catt;e wading,idol emersion wading",none,none,clear,app 2mts,no,clear,odourless,,25,6.1,7.99,1080,1.2,1.86,,Less than 1.8,38,Less than 1.8,,,,8,5,270,118,22,1.5,0.4,,285,70,175,26.73,110,72,,658,420,10,0.25,,0.5,,0.49,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,Warangal,07.12.2023,10.30 am,,"bathing,washig,cultivation,fishing,boating,gardening,tourism spot,catt;e wading,idol emersion wading",none,none,clear,app 2mts,no,clear,odourless,,26,6.1,8.12,1136,1.2,2.34,,Less than 1.8,43,Less than 1.8,,,,6,5,300,118,24,1.5,0.4,,305,76,190,27.95,115,74,,716,466,10,0.33,,0.5,,0.51,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,Warangal,07.12.2023,07.30 am,,"bathing,washig,cultivation,fishing,boating,gardening,tourism spot,catt;e wading,idol emersion wading",none,none,clear,app 2mts,no,clear,odourless,,25,5.8,7.34,1553,1.4,3.28,,Less than 1.8,58,Less than 1.8,,,,10,5,410,148,36,1.5,0.4,,420,104,260,38.88,160,92,,978,666,10,0.54,,0.5,,0.59,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,06:50:00,Irrigation & Drinking,Bathing,None,None,Clear,1 mtr,No,Clear,None,Medium,18 oC,6.8,7.86,811,3,20,0.09,4.5,21,3.7,,,,2.8,12,180,115,30,6,,,225,145,58,80,19,60,40,454.16,322.45,6,,0.12,BDL,3.6,BDL,27.54,1.01
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,ZL-RCP,2023-12-06 00:00:00,07:40:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,18 oC,6.7,7.48,815,3.1,25,0.1,7.8,43,4,,,,2.7,8,155,102,32,6,,,215,135,54,80,19,53,41,456.4,324.04,6,,0.2,BDL,3.7,BDL,28.94,1.08
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,08:00:00,Irrigation & Drinking,Fishing & Bathing,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,18 oC,6.8,7.58,1185,3.1,31,0.21,9.2,39,5.6,,,,2.6,12,170,172,44,7,,,295,210,84,85,21,71,65,663.6,471.16,7,,0.15,BDL,5.7,0.3,31.68,1.37
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,ZL-RCP,2023-12-05 00:00:00,09:05:00,Irrigation & Drinking,Fishing & Bathing,None,None,Clear,1 mtr,No,Clear,None,Medium,19 oC,6.7,7.63,1192,3.8,40,0.25,6.8,41,4.5,,,,4.2,16,200,171,28,8,,,305.23,190,76,115.23,28,80,66,667.52,473.94,10,,0.21,BDL,4.9,0.7,31.44,1.46
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,Warangal,01.12.2023,09.30 am,,"fishing,boating",none,none,sunny,,no,clear,odourless,,27.3,6,8.28,696,1.2,2.14,,Less than 1.8,33,Less than 1.8,,,,8,5,192,72,16,1.5,0.4,,202,44,110,22.36,92,29,,438,332,10,1.03,,0.5,,0.63,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,Warangal,01.12.2023,10.30 am,,"washing,fishing",none,none,sunny,,no,clear,odourless,,,5.8,8.22,741,2,2.86,,Less than 1.8,38,Less than 1.8,,,,9,5,200,72,36,1.5,0.4,,210,45.6,114,23.33,96,35,,452,316,12,1.24,,0.5,,0.71,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,07:40:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,19 oC,6.8,7.09,1080,3.4,34,0.11,6,33,4,,,,3.6,24,210,165,38,10,,,290,200,80,90,22,70,64,604.8,429.41,8,,0.2,BDL,5.9,0.21,31.74,1.38
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,08:15:00,Irrigation & Drinking,Fishing ,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,18 oC,7.6,7.82,1181,3.2,25,0.13,5.6,41,4,,,,3.5,16,190,165,42,10,,,310.23,195,78,115.23,28,80,56,661.36,469.57,8,,0.21,BDL,5.8,0.32,27.62,1.22
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,Nalgonda,ZL-RCP,2023-12-05 00:00:00,09:30:00,Irrigation Purpose,Fishing ,None,None,Clear,About 1 mtr,No,Clear,None,Medium,20 oC,6.6,7.68,1182,3,30,0.16,4.5,40,2,,,,3.2,12,190,182,30,6,,,300,190,76,110,26,75,65,661.92,469.96,8,,0.14,BDL,5.6,0.4,31.63,1.44
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,Hyderabad,Warangal,07.12.2023,09.30 am,,others,municipal sewage,municipal swewage,clear,Greater than 50 cm,yes,brown,septic,,28,0.3,7.82,1080,10,6.86,,27,430,6,,,,12,5,254,129,117,5.6,1.56,,286,61.6,154,32.08,132,42,,702,440,14,3.66,,0.5,,1.06,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,RR-I,Warangal,06.12.2023,10.50 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,black,septic,,27.7,0.3,7.31,1416,10,9.24,,21,540,3.6,,,,16,5,346,141,136,8.96,3.12,,360,84,210,36.45,150,82,,876,640,20,3.17,,0.5,,1.14,,
2339,River Musi,River Musi at Nagole,Shamshabad,RR-I,Central lab ,06.12.2023,10.30 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,28,0.3,7.42,1432,12,6.9,,17,350,3.6,,,,18,5,352,143,140,6.72,3.34,,372,82,205,40.58,167,90,,888,620,24,3.82,,0.5,,1.22,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,Nalgonda,Central lab ,06.12.2023,10.00 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,27.4,0.3,7.75,1564,10,12.5,,26,540,8,,,,14,5,384,148,152,7.84,4.05,,392,92,230,39.37,162,94,,954,740,22,3.93,,0.5,,1.04,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,Nalgonda,Central lab ,06.12.2023,09.45 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,27.2,0.3,7.43,1429,12,10.8,,14,350,4,,,,10,5,350,172,163,5.6,1.42,,370,86,215,37.66,155,91,,886,600,18,2.88,,0.5,,1.16,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,RR-I,Central lab ,06.12.2023,09.30 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,27.8,0.3,7.67,1408,16,13.6,,27,430,3.6,,,,12,5,340,166,198,5.6,2.12,,344,76,190,37.42,154,70,,872,600,16,2.84,,0.5,,1.02,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,Rangareddy,Central lab ,06.12.2023,09.20 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,black,septic,,26.8,1,7.33,1464,5.4,6.94,,17,350,2,,,,7.6,5,352,176,78,5.6,2.2,,364,88,220,34.99,144,82,,922,650,12,3.14,,0.5,,1.22,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-12-06 00:00:00,09:05:00,Irrigation Purpose,None,Hyd Sewage,None,Clear,1 mtr,Yes,Light Brown,Yes,Medium,19 oC,6.1,6.81,1509,3.6,38,0.16,7.8,79,5.6,,,,4.8,32,255,190,40,14,,,415,245,98,170,41,82,60,845.04,599.98,13,,0.16,BDL,7.5,BDL,23.47,1.17
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-12-06 00:00:00,08:35:00,Irrigation Purpose,None,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Light Brown,Yes,Medium,18 oC,6.1,6.73,1493,4.1,43,0.15,8.2,84,6.1,,,,6.5,32,255,184,38,14,,,374.92,235,94,139.92,34,80,71,836.08,593.62,12,,0.18,BDL,9.3,0.21,28.43,1.41
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,Nalgonda,ZL-RCP,2023-12-05 00:00:00,11:15:00,Irrigation Purpose,Fishing,Sewage Runoff,None,Clear,1 mtr,No,Light Green,None,Medium,20 oC,6.5,8.54,1316,3.5,35,0.08,7.8,70,5.5,,,,5.8,24,230,190,36,12,,,379.92,240,96,139.92,34,81,56,736.96,523.24,11,,0.12,BDL,8.6,0.25,23.67,1.1
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,10:20:00,Irrigation Purpose,Fishing ,Sewage & Agricultural runoff,None,Clear,About 1 mtr,No,Clear,None,Medium,20 oC,6.9,7.92,1407,3.1,35,0.15,5.6,33,3.7,,,,3.6,28,225,199,32,12,,,399.61,235,94,164.61,40,78,64,787.92,559.42,13,,0.14,BDL,5.2,0.5,25.41,1.27
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-12-05 00:00:00,08:25:00,Irrigation Purpose,Fishing,Sewage & Agricultural runoff,None,Clear,1 Mtr,No,Clear,None,Medium,19 oC,6.9,7.54,1193,3.1,25,0.11,6.8,43,5.6,,,,3.2,28,250,211,30,10,,,359.92,220,88,139.92,34,80,65,668.08,474.34,10,,0.12,BDL,5.6,0.41,27.7,1.34
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,RR-I,Warangal,07.12.2023,09.50 am,,"fishing,bathing,tourism spot",none,none,clear,Greater than 100 cm,yes,clear,odourfree,,28,6,8.07,478,1.8,0.42,,Less than 1.8,40,Less than 1.8,,,,6,5,130,57,32,1.5,0.4,,136,28.8,72,15.55,64,12,,290,192,10,0.28,,0.5,,0.59,,
1215,Lakes & Tanks ,Madannapet Lake,Warangal Rural,Warangal,Warangal,06.12.2023,04.05 pm,,others,others,none,raining,50to100 cm,yes,clear,odourfree,,26,5.8,7.68,302,2,1.2,,Less than 1.8,120,Less than 1.8,,,,13,5,80,32,26,1.5,0.4,,90,22.8,57,8.02,33,20,,180,100,18,0.2,,0.5,,0.2,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,12:30:00,Irrigation,Fishing ,IDA  Khazipally,None,Cloudy,5 Feets,No,Clear,None,Low,21 oC,5.9,7.71,1739,3.6,35,0.16,5.6,84,3.7,,,,9.9,40,245,245,52,14,,,430.19,245,98,185.19,45,92,90,1060.79,753.16,17,,0.2,BDL,8.5,0.24,30.62,1.75
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,Rangareddy - I,Warangal,09.12.2023,10.40 am,,others,municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,light green,septic,,26.8,0.3,8.34,3670,18,14.9,,63,920,11,,,,18,6,540,693,253,16.9,5.66,,858,176,440,101.57,418,142,,2316,1640,28,5.6,,0.62,,1.44,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,13:30:00,None,None,IDA Bollaram ,Industrial ,Clear,1 Feet,No,Brown,Pungent,Low,22 oC,NIL,7.01,5390,26,68,0.35,6,120,4.5,,,,52,52,700,1001,320,52,,,1664.81,850,340,814.81,198,190,145,3287.9,2334.41,70,,0.3,0.5,62,0.41,15.23,1.49
