Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,Warangal,06.10.2023,08.25 am,"irrigation,fishing",fishing,none,none,clear,Greater than 1 mt,none ,clear,odourfree,,26,6.2,7.36,448,1,1.6,,Less than 1.8,27,Less than 1.8,,,,6,5,112,42,10,1.5,0.4,,115,65,26,42,12.15,33,,270,,10,0.92,,0.5,,0.82,,,,,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,Warangal,09.10.2023,11.00 am,"irrigation,fishing",bathing,others,none,raining,Less than 50cm,no,clear,odourfree,,27,6.2,8.07,486,1.4,0.82,,Less than 1.8,22,Less than 1.8,,,,6,5,142,39,20,1.5,0.4,,144,88,35.2,55,13.61,28,,306,,10,0.32,,0.5,,0.48,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,Warangal,10.10.2023,11.30 am,irrigation,others,others,none,clear,Greater than 50 cm,no,brown,odourless,,26,6.2,7.62,302,1,1.84,,Less than 1.8,22,Less than 1.8,,,,4,5,75,36,8,1.5,0.4,,80,35,14,45,10.94,23,,186,,10,0.28,,0.5,,0.38,,,,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,Warangal,10.10.2023,12.05 AM,irrigation,others,others,none,cloudy,Greater than 50 cm,no,browm,odpourless,,28,6.2,7.8,300,1.2,1.92,,Less than 1.8,27,Less than 1.8,,,,4,5,80,34,12,1.5,0.4,,85,40,16,45,10.94,26,,186,,10,0.3,,0.5,,0.39,,,,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,10.30 am,others,bathing,none,none,clear,Less than 100 cm,no,light brown,odourfree,,28.2,6.2,7.62,269,1,0.84,,Less than 1.8,33,Less than 1.8,,,,8,5,78,30,12,1.5,0.4,,80,48,19.2,32,7.78,22,,170,,10,0.35,,0.5,,0.59,,,,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,10.00 am,others,"boating,bathing,washing,tourism spot",none,none,sunny,Less than 100 cm,no,brown,odourfree,,26.6,6,7.47,306,1.8,1.22,,Less than 1.8,39,Less than 1.8,,,,6,5,110,22,24,1.5,0.4,,94,54,21.6,40,9.72,18,,192,,10,0.46,,0.5,,0.36,,,,,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,09.20 am,cultivation,others,none,none,clear,Less than 100 cm,no,light brown,odourfree,,28,6,7.67,389,1.8,2.03,,Less than 1.8,34,Less than 1.8,,,,8,5,132,32,36,1.5,0.4,,120,66,26.4,54,13.12,12,,242,,10,0.37,,0.5,,0.49,,,,,,,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,Warangal,07.10.2023,10.15 am,irrigation,"cultivation boating,fishing",none,none,clear,Greater than  1mt,none ,clear,odourfree,,26,6.1,6.88,402,1,1.5,,Less than 1.8,24,Less than 1.8,,,,5.5,5,105,38,8,1.5,0.4,,110,70,28,40,9.72,28,,248,,10,0.88,,0.5,,0.79,,,,,,,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,Warangal,07.10.2023,10.00 am,irrigation,"cultivation boating,fishing",none,none,clear,Greater than 1 mt,none ,clear,odourfree,,26,5.4,7.15,1502,2.1,6.6,,24,430,Less than 1.8,,,,10,5,280,211,32,1.5,0.56,,295,155,62,140,34.02,92,,920,,22,2.8,,0.5,,1,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,Warangal,07.10.2023,09.10 am,irrigation,fishing,none,none,clear,Greater than 1 mt,clear,clear,odourfree,,26,5.6,7.74,644,3,2.2,,Less than 1.8,49,Less than 1.8,,,,6,5,155,72,54,1.5,0.4,,165,90,36,75,18.22,48,,404,,10,1.2,,0.5,,0.72,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,Warangal,Warangal,09.10.2023,09.25 am,others,others,industrial,none,raining,Less than 50 cm,none,clear,odourfree,,26,6,7.51,856,1.8,17,,Less than 1.8,32,Less than 1.8,,,,18,5,210,152,32,1.5,0.4,,240,146,58.4,94,22.84,16,,532,,16,0.39,,0.5,,0.42,,,,,,,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,Warangal,06.10.2023,07.00 am,"irrigation,fishing","fishing,cultivation",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6,7.44,512,1.8,0.72,,Less than 1.8,25,Less than 1.8,,,,4,5,132,52,10,1.5,0.4,,140,70,28,70,17.01,38,,312,,10,0.48,,0.5,,0.56,,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,09:30:00,Irrigation & Drinking,Fishing & Boating,None,None,Clear,13 Mtrs,No,Clear,None,Low,25 oC,7.1,8.47,548,2,20,0.03,3.6,15,Less than 1.8,,,,4.2,16,135,65,20,8,,,150,90,36,60,15,28,25,328.8,233.45,7,,0.1,BDL,3.1,0.15,25.78,0.7,,BDL,BDL,BDL,BDL,BDL,BDL,0.1,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,14:35:00,Irrigation & Drinking,"Drinking, Bathing & Fishing",None,None,Clear,6 mtrs,No,Clear,None,Low,25 oC,7,8.4,598,2.8,24,0.05,5.5,39,4,,,,3,12,125,80,28,8,,,170,110,44,60,15,44,28,358.8,254.75,8,,0.09,BDL,3.97,0.4,25.53,0.72,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,11:40:00,Irrigation,"Drinking, Bathing & Fishing",None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.5,8.05,758,3,23,0.06,8.3,49,5.5,,,,3.5,16,150,98,32,10,,,250,150,60,100,24,65,25,454.8,322.91,8,,0.12,BDL,2.8,0.42,17.65,0.54,,BDL,BDL,BDL,BDL,BDL,0.12,BDL,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,10:40:00,Irrigation,None,None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.2,7.25,902,3.2,28,0.06,6.8,27,5.6,,,,3.6,24,165,125,36,12,,,315.23,200,80,115.23,28,85,28,541.2,384.25,9,,0.15,BDL,3,0.3,15.96,0.54,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,11:10:00,Irrigation,None,None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.1,7.35,1278,3.4,25,0.12,6.1,34,4,,,,3.4,20,230.0,220,40,10,,,470,250,100,220,54,92,38,766.8,544.43,7,,0.12,BDL,4.1,0.7,14.68,0.61,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:00:00,Domestic,None,IDA Patancheru,Municipal Sewage,Clear,1 Feet,Yes,Light Brown,Soapy,Low,19 oC,5,6.93,1555,4.1,40,0.13,8.2,79,6.8,,,,5.3,32,240,210,52,12,,,445,230,92,215,52,105,49,933,662.43,9,,0.2,BDL,4.9,0.18,19.04,0.82,,BDL,BDL,BDL,BDL,BDL,0.1,0.05,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,ZL-RCP,2023-10-10 00:00:00,08:00:00,Irrigation & Bathing,Bathing & Fishing,None,None,Clear,1 mtr,Yes,Clear,None,Low,19 oC,6.8,8.05,660,2.4,32,0.11,4.5,46,Less than 1.8,,,,2.5,16,185.25,120,22,5,,,250,160,64,90,22,65,40,396,281.16,7,,0.15,BDL,4.1,0.41,25.29,0.86,,BDL,BDL,BDL,BDL,0.03,0.2,0.11,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,08.40 am,Cultivation,washing,none,nil,sunny,nil,nil,colourless,odourless,,28.1,6.1,7.87,398,1.8,2.48,,Less than 1.8,39,Less than 1.8,,,,6,5,120,33,28,1.5,0.4,,124,72,28.8,52,12.64,21,,248,,10,0.36,,0.5,,0.45,,,,,,,,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,07.00 am,cultivation,"washing,bathing",nil,nil,clear,Less than 100 cm,nil,nil,odourfree,,27.1,6,8.14,682,1.8,1.49,,Less than 1.8,33,Less than 1.8,,,,6,5,210,50,36,1.5,0.4,,218,132,52.8,86,20.9,36,,426,,10,0.45,,0.5,,0.44,,,,,,,,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,07.30 am,others,others,industrial,nil,clear,Less than 100 cm,no,brown,odourfree,,27.4,6.1,7.54,568,1.6,1.76,,Less than 1.8,27,Less than 1.8,,,,5,5,170,43,24,1.5,0.4,,176,120,48,56,13.61,30,,352,,10,0.48,,0.5,,0.48,,,,,,,,,,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,Warangal,04.10.2023,11.00 am,"irrigation,industrual,domestic,cultivartion,fishin,drinking water source,othets","bathing,washing,cultivation,fishing,gardening,cattle washing,others",domestic sewage,none,clear,app 1 m,yes,clear,odourless,,25,6.2,7.93,548,1.2,6,,Less than 1.8,13,Less than 1.8,,,,2,5,135,72,16,1.5,0.4,,160,90,36,70,17.01,47,,340,,10,0.46,,0.5,,0.2,,,,,,,,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,Warangal,04.10.2023,06.00 am,"bathing,washing,cultivation, fishing, bathing ghat ,others","bathing,washig,cultivation,fishing,others",none,none,clear,app 1 m,yes,clear,odourless,,24,6.1,8.06,758,1.4,6,,Less than 1.8,21,Less than 1.8,,,,2,5,160,94,31,1.5,0.4,,170,110,44,60,14.58,54,,470,,12,0.52,,0.5,,0.2,,,,,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,Warangal,05.10.2023,07.55 am,"irrigation,domestic,batjing ghat ,others,industrial,drinkong water source","fishing,boating,gardening,tourism ;spot",none,none,clear,app 2 ma,yes,clear,odourless,,25,5.8,7.52,1692,2.2,12,,10,170,Less than 1.8,,,,6,5,385,223,48,5.6,1.1,,435,285,114,150,36.45,86,,1066,,14,1.04,,0.5,,0.2,,,,,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,06:20:00,Irrigation & Drinking,Bathing,None,None,Clear,1 mtr,No,Clear,None,Medium,22 oC,6.7,8.56,864,2.6,20,0.1,4.5,21,3.7,,,,3,16,190,120,38,9,,,255,155,62,100,24,62,45,518.4,368.06,5,,0.15,BDL,3,0.15,27.43,0.97,,BDL,BDL,BDL,BDL,0.03,BDL,0.21,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,ZL-RCP,2023-10-13 00:00:00,06:00:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,21 oC,8,7.93,884,2.3,21,0.12,7.8,47,4,,,,2.9,16,180.33,105,30,7,,,230,150,60,80,19,52,41,530.4,376.58,6,,0.2,BDL,3,BDL,27.67,0.92,,BDL,BDL,BDL,BDL,BDL,BDL,0.3,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:00:00,Irrigation & Drinking,Fishing & Bathing,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,6,8.86,1311,3.2,32,0.22,8.3,33,5.5,,,,2.8,12,200,180,40,12,,,330,225,90,105,26,85,65,786.6,558.49,7,,0.12,BDL,5.1,0.36,29.37,1.2,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,09:20:00,Irrigation & Drinking,Fishing & Bathing,None,None,Clear,1 mtr,No,Light Green,None,Medium,22 oC,6.5,8.44,1276,3.1,42,0.26,6.8,41,3.7,,,,4.2,24,240,165,34,12,,,315,185,74,130,32,86,74,765.6,543.58,11,,0.21,BDL,4.6,0.85,33.16,1.43,,BDL,BDL,BDL,BDL,BDL,BDL,0.23,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,Warangal,03.10.2023,11.10 am,"irrigation,cultivation,organised water source",fishing,none,none,sunny,Less than 100 cm,no,light green,odourfree,,27.2,5.8,7.7,540,2,2.04,,Less than 1.8,39,Less than 1.8,,,,8,5,140,61,32,1.5,0.4,,148,92,36.8,56,13.61,22,,344,,14,0.45,,0.5,,0.75,,,,,,,,,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,Warangal,03.10.2023,10.30 am,"irrigation,cultivation","bathing,washing,fishing",none,none,sunny,Less than 100 cm,no,light brown,odourfree,,28.6,5.8,7.54,470,2,2.16,,Less than 1.8,40,Less than 1.8,,,,6,5,136,42,36,1.5,0.4,,140,66,44,74,17.98,26,,290,,12,0.43,,0.5,,0.55,,,,,,,,,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,07:45:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,6.4,8.42,1281,3.2,35,0.15,5.6,33,4,,,,3.9,24,220,170,36,11,,,330,205,82,125,30,89,70,768.6,545.71,10,,0.22,BDL,5.9,0.29,31.07,1.32,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:15:00,Irrigation & Drinking,Fishing ,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,22 oC,6.7,8.43,1282,2.9,41,0.13,6,43,3.7,,,,3.5,24,195,185,34,12,,,330,200,80,130,32,89,75,769.2,546.13,9,,0.23,BDL,5.8,0.41,32.36,1.41,,BDL,BDL,BDL,BDL,0.03,0.76,BDL,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,09:50:00,Irrigation Purpose,Fishing ,None,None,Clear,About 1 mtr,No,Light Green,None,Medium,23 oC,6.9,8.27,1280,2.4,33,0.17,4,39,2,,,,3.4,16,205,185,28,9,,,300.23,185,74,115.23,28,92,82,768,545.28,9,,0.14,BDL,5.4,0.45,36.62,1.62,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,Hyderabad,Warangal,05.10.2023,09.15 am,others,"bathig,others",sewage,none,sunny,Greater than 50 m,no,black,septic,,29,2.2,6.96,612,3.2,2.8,,2,350,2,,,,13,5,145,72,42,1.5,0.4,,165,122,48.8,43,10.45,38,,362,,22,1.2,,0.5,,1.02,,,,,,,,,,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,RR-I,Warangal,05.10.2023,07.35 am,others,others,domestc sewage,none,sunny,1mts,yes,brown,se[ptic,,27,0.3,7.02,933,6.2,3.8,,14,430,2,,,,12,5,178,112,88,5.6,1.4,,180,112,44.8,68,16.52,78,,560,,18,2.8,,0.5,,1.1,,,,,,,,,,,
2339,River Musi,River Musi at Nagole,Shamshabad,RR-I,Central lab ,05.10.2023,06.30 am,others,others,sewage,none,sunny,Greater than 50 m,yes,light brown,septic,,27,0.3,7.06,1027,6,3.2,,8,430,2,,,,16,5,205,144,72,4.2,1.1,,215,138,55.2,77,18.71,84,,622,,17,2.2,,0.5,,1.06,,,,,,,,,,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Uppal,RR-I,Central lab ,04.10.2023,10.15 AM,others,cattle wading,sewage,none,sunny,1mts,none,light green,septic,,28,0.3,7.14,1370,8,3.8,,17,430,4,,,,10,5,280,176,110,4.2,1.4,,295,213,85.2,82,19.93,128,,822,,18,2.8,,0.5,,1.5,,,,,,,,,,,
4660,River Musi,River Musi at Peerajadiguda,Uppal,RR-I,Central lab ,04.10.2023,10.15 am,others,others,city sewage,none,sunny,2 mts,yes,light black,se[ptic,Greater than 100,29,0.3,6.98,1048,6.2,3,,15,430,4,,,,12,5,215,146,78,2.8,1.4,,225,144,57.6,81,19.68,70,,628,,14,3,,0.5,,1.08,,,,,,,,,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,RR-I,Central lab ,04.10.2023,09.40.am,others,others,sewage,none,sunny,1mts,yes,light black,septic,,28,0.3,6.75,1005,6.1,2.6,,17,430,4,,,,10,5,195,132,72,2.8,1.4,,205,130,52,75,18.22,82,,603,,17,3.1,,0.5,,0.98,,,,,,,,,,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,Rangareddy,Central lab ,04.10.2023,09.20 am,"others,cultivation",others,city sewage,none,clear,1 mts,yes,light black,se[ptic,,27,0.3,6.97,1119,6,2.8,,17,430,4,,,,12,5,205,148,68,4.2,1.4,,220,142,56.8,78,18.95,88,,670,,10,2.8,,0.5,,0.96,,,,,,,,,,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,08:00:00,Irrigation Purpose,None,Hyd Sewage,None,Clear,1 mtr,Yes,Clear,Yes,Medium,22 oC,6.6,7.57,1489,3,38,0.16,8.1,79,4.5,,,,4.6,32,255.0,175,36,12,,,400,225,90,175,42,105,59,893.4,634.31,12,,0.15,BDL,7.5,BDL,23.85,1.03,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,07:30:00,Irrigation Purpose,None,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,Yes,Medium,23 oC,6.5,7.3,1509,3.5,41,0.17,9.2,84,6.1,,,,6.9,36,260,180,40,14,,,370,240,96,130,32,103,72,905.4,642.83,13,,0.19,BDL,8.9,0.26,28.92,1.26,,BDL,BDL,BDL,BDL,BDL,BDL,0.08,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,11:30:00,Irrigation Purpose,Fishing,Sewage Runoff,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,6.8,7.68,1277,3.6,34,0.07,6.8,58,4.5,,,,6.5,20,225,185,38,10,,,380,225,90,155,38,86,50,766.2,544.0,10,,0.12,BDL,8.1,0.31,21.64,0.88,,BDL,BDL,BDL,BDL,BDL,BDL,0.15,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,10:50:00,Irrigation Purpose,Fishing ,Sewage & Agricultural runoff,None,Clear,About 1 mtr,No,Clear,None,Medium,22 oC,6.8,8.16,1546,2.5,38,0.15,5.5,33,3.7,,,,3.9,28,235,190,28,9,,,374.61,210,84,164.61,40,94,70,927.6,658.6,12,,0.15,BDL,5.8,0.58,28.38,1.26,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
