Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,Warangal,Warangal,09.10.2023,09.25 am,others,others,industrial,none,raining,Less than 50 cm,none,clear,odourfree,,26,4.2,7.69,584,2.6,0.58,,Less than 1.8,48,Less than 1.8,,,,16,5,170,42,24,1.5,0.4,,180,110,44,70,17.01,43,,382,264,14,0.45,,0.5,,0.58,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,Warangal,06.10.2023,07.00 am,"irrigation,fishing","fishing,cultivation",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6.2,7.29,466,1,0.86,,Less than 1.8,26,Less than 1.8,,,,4,5,125,51,12,1.5,0.4,,140,85,34,55,13.37,28,,301,244,10,0.2,,0.5,,0.57,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,09:30:00,Irrigation & Drinking,Fishing & Boating,None,None,Clear,13 Mtrs,No,Clear,None,Low,25 oC,7.5,8.25,540,2.1,20,0.04,3.6,17,Less than 1.8,,,,4,20,135,67,20,8,,,155,95,38,60,15,39,30,318.6,226.21,8,,0.12,BDL,3.4,0.14,28.72,0.94,,,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,14:35:00,Irrigation & Drinking,"Drinking, Bathing & Fishing",None,None,Clear,6 mtrs,No,Clear,None,Low,25 oC,7.6,8.23,575,2.4,24,0.05,4.5,39,3.7,,,,3.3,10,120,81,32,9,,,175,115,46,60,15,45,31,339.25,240.87,8,,0.1,BDL,4.2,0.4,26.93,0.88,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,11:40:00,Irrigation,"Drinking, Bathing & Fishing",None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.3,8.25,725,2.3,25,0.04,8.1,49,4.5,,,,3.4,18,130,91,26,10,,,220,135,54,85,21,55,22,427.75,303.7,7,,0.12,BDL,3.2,0.41,17.43,0.58,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,10:40:00,Irrigation,None,None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.4,7.25,875,2.1,29,0.04,6.8,31,6,,,,3.5,24,165,125,28,10,,,305,200,80,105,26,78,25,516.25,366.54,8,,0..16,BDL,3.5,0.32,14.8,0.54,,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,ZL-RCP,2023-10-25 00:00:00,11:10:00,Irrigation,None,None,None,Clear,2 Feets,No,Clear,None,Low,24 oC,6.2,7.21,1238,2.4,26,0.12,6.8,38,4.5,,,,3.4,24,230,220,38,9,,,455,250,100,205,50,85,36,730.42,518.6,6,,0.13,BDL,4.2,0.72,14.44,0.7,,,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:00:00,Domestic,None,IDA Patancheru,Municipal Sewage,Clear,1 Feet,Yes,Light Brown,Soapy,Low,19 oC,5.1,6.98,1485,3.6,38,0.12,7.8,84,6.5,,,,5.2,30,235,220,44,10,,,430,225,90,205,50,90,46,876.15,622.07,7,,0.21,BDL,4.9,0.16,18.53,0.94,,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,ZL-RCP,2023-10-10 00:00:00,08:00:00,Irrigation & Bathing,Bathing & Fishing,None,None,Clear,1 mtr,Yes,Clear,None,Low,19 oC,7.2,8.04,920,2.5,40,0.12,4.5,48,Less than 1.8,,,,3.2,20,200,134,26,8,,,300,175,70,125,30,75,50,542.8,385.39,9,,0.16,BDL,5.4,0.54,26.15,1.15,,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,08.40 am,Cultivation,washing,none,nil,sunny,nil,nil,colourless,odourless,,28.1,5.8,7.92,520,2,2.5,,2,120,1.8,,,,12,5,120,69,20,2,0.4,,130,80,32,50,12.15,25,,322,196,16,0.62,,0.5,,0.36,,,10.0,110.0,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,07.00 am,cultivation,"washing,bathing",nil,nil,clear,Less than 100 cm,nil,nil,odourfree,,27.1,5.9,7.73,799,1.6,1.86,,Less than 1.8,32,Less than 1.8,,,,8,5,200,84,16,1.5,0.4,,210,130,52,80,19.44,52,,494,298,10,0.2,,0.5,,0.46,,,10.0,190.0,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,07.30 am,others,others,industrial,nil,clear,Less than 100 cm,no,brown,odourfree,,27.4,5.9,7.84,475,1.8,2,,Less than 1.8,32,Less than 1.8,,,,2,5,88,68,24,1.5,0.4,,115,70,28,45,10.94,36,,290,176,12,0.2,,0.5,,0.42,,,10.0,78.0,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,Warangal,04.10.2023,11.00 am,"irrigation,industrual,domestic,cultivartion,fishin,drinking water source,othets","bathing,washing,cultivation,fishing,gardening,cattle washing,others",domestic sewage,none,clear,app 1 m,yes,clear,odourless,,25,6.1,7.45,312,1.6,0.3,,Less than 1.8,21,Less than 1.8,,,,8,5,98,28,8,1.5,0.4,,102,54,21.6,48,11.66,24,,178,110,10,0.2,,0.5,,0.4,,,10.0,88.0,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,Warangal,04.10.2023,06.00 am,"bathing,washing,cultivation, fishing, bathing ghat ,others","bathing,washig,cultivation,fishing,others",none,none,clear,app 1 m,yes,clear,odourless,,24,6.1,7.76,344,1.8,1.8,,Less than 1.8,39,Less than 1.8,,,,8,5,102,32,20,1.5,0.4,,112,66,26.4,46,11.18,26,,202,116,10,0.2,,0.5,,0.42,,,10.0,92.0,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,Warangal,05.10.2023,07.55 am,"irrigation,domestic,batjing ghat ,others,industrial,drinkong water source","fishing,boating,gardening,tourism ;spot",none,none,clear,app 2 ma,yes,clear,odourless,,25,6,7.13,512,1.8,2.6,,2,49,Less than 1.8,,,,9,5,142,48,24,2.2,0.46,,166,122,48.8,44,10.69,30,,297,180,10,0.82,,0.5,,0.56,,,10.0,132.0,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,06:20:00,Irrigation & Drinking,Bathing,None,None,Clear,1 mtr,No,Clear,None,Medium,22 oC,6.9,7.55,841,2.5,18,0.1,4.5,20,3.6,,,,3,14,185,120,32,8,,,240,150,60,90,22,65,44,496.19,352.29,7,,0.14,BDL,3.5,BDL,27.99,1.1,,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,ZL-RCP,2023-10-13 00:00:00,06:00:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,21 oC,6.5,7.64,845,2.6,25,0.11,7.8,43,4.5,,,,2.8,12,160,110,30,7,,,230,145,58,85,21,56,40,498.55,353.97,6,,0.21,BDL,3.6,BDL,26.83,1.01,,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:00:00,Irrigation & Drinking,Fishing & Bathing,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,6.9,7.47,1233,3.2,35,0.23,9.1,33,5.5,,,,2.7,12,165,177,46,8,,,320,220,88,100,24,79,68,727.47,516.5,8,,0.14,BDL,5.6,0.31,31.12,1.4,,,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,09:20:00,Irrigation & Drinking,Fishing & Bathing,None,None,Clear,1 mtr,No,Light Green,None,Medium,22 oC,6.5,7.03,1283,2.4,44,0.27,6.8,40,4,,,,4.3,20,205,172,24,10,,,330,200,80,130,31,85,69,756.97,537.45,12,,0.22,BDL,4.8,0.75,30.91,1.49,,,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,Warangal,03.10.2023,11.10 am,"irrigation,cultivation,organised water source",fishing,none,none,sunny,Less than 100 cm,no,light green,odourfree,,27.2,6.1,8.08,664,1.8,0.96,,Less than 1.8,39,Less than 1.8,,,,9,5,170,61,32,1.5,0.4,,182,96,38.4,86,20.9,46,,412,280,10,0.68,,0.5,,0.72,,,10.0,160.0,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,Warangal,03.10.2023,10.30 am,"irrigation,cultivation","bathing,washing,fishing",none,none,sunny,Less than 100 cm,no,light brown,odourfree,,28.6,6,8.34,578,1.8,0.92,,Less than 1.8,47,Less than 1.8,,,,8,10,165,53,28,1.5,0.4,,180,98,39.2,82,19.93,42,,355,290,10,0.73,,0.5,,0.69,,,20.0,145.0,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,07:45:00,Irrigation & Drinking,Fishing ,None,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,7.6,7.34,1056,3.2,35,0.12,6.1,34,4.5,,,,3.7,22,215,168,34,10,,,310,210,84,100,24,79,68,623.04,442.36,9,,0.21,BDL,5.8,0.24,31.77,1.43,,,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:15:00,Irrigation & Drinking,Fishing ,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,None,Medium,22 oC,7.9,7.63,1224,2.3,29,0.12,5.6,40,3.7,,,,3.6,20,200,168,38,12,,,330,205,82,125,30,90,55,722.16,512.73,10,,0.22,BDL,5.7,0.39,26.17,1.17,,,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,09:50:00,Irrigation Purpose,Fishing ,None,None,Clear,About 1 mtr,No,Light Green,None,Medium,23 oC,6.9,7.38,1235,2.4,32,0.17,4.5,41,2,,,,3.3,16,200,177,28,8,,,325,200,80,125,30,95,69,728.65,517.34,10,,0.15,BDL,5.9,0.41,31.09,1.49,,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,Hyderabad,Warangal,05.10.2023,09.15 am,others,"bathig,others",sewage,none,sunny,Greater than 50 m,no,black,septic,,29,0.3,7.35,1088,6.2,6,,34,920,6.1,,,,21,5,250,132,98,6.2,2.4,,304,198,79.2,106,25.76,52,,666,420,41,2.62,,0.5,,1.2,,,10.0,240.0,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,RR-I,Warangal,05.10.2023,07.35 am,others,others,domestc sewage,none,sunny,1mts,yes,brown,se[ptic,,27,0.3,6.81,1144,12,7.4,,41,540,5.6,,,,26,5,262,147,208,8.5,3.8,,302,204,81.6,98,23.81,48,,744,500,66,3.44,,0.5,,0.92,,,10.0,252.0,
2339,River Musi,River Musi at Nagole,Shamshabad,RR-I,Central lab ,05.10.2023,06.30 am,others,others,sewage,none,sunny,Greater than 50 m,yes,light brown,septic,,27,0.3,7.03,1202,8,8,,58,920,12,,,,18,5,276,152,98,10.4,3.28,,304,226,90.4,78,18.95,52,,768,620,44,2.48,,0.5,,0.88,,,10.0,266.0,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Uppal,RR-I,Central lab ,04.10.2023,10.15 AM,others,cattle wading,sewage,none,sunny,1mts,none,light green,septic,,28,0.3,7.46,1205,6,8.2,,32,540,10,,,,22,5,254,147,60,10,1.1,,302,196,78.4,106,25.76,81,,705,580,27,2.28,,0.5,,0.81,,,10.0,244.0,
4660,River Musi,River Musi at Peerajadiguda,Uppal,RR-I,Central lab ,04.10.2023,10.15 am,others,others,city sewage,none,sunny,2 mts,yes,light black,se[ptic,Greater than 100,29,0.3,7.42,1456,6.2,7.2,,47,540,12,,,,18,5,310,169,59,12.3,5.6,,260,156,62.4,104,25.27,104,,940,580,51,3.24,,0.5,,1.92,,,10.0,300.0,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,RR-I,Central lab ,04.10.2023,09.40.am,others,others,sewage,none,sunny,1mts,yes,light black,septic,,28,1,7.47,1302,5.8,9.4,,84,920,14,,,,21,5,286,144,50,14.5,6.7,,224,166,66.4,58,14.09,88,,802,540,37,3.46,,0.6,,0.88,,,10.0,276.0,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,Rangareddy,Central lab ,04.10.2023,09.20 am,"others,cultivation",others,city sewage,none,clear,1 mts,yes,light black,se[ptic,,27,2,7.49,1406,5,10.8,,70,1600,15,,,,17,5,302,164,23,16.8,8.9,,352,212,84.8,140,34.02,96,,902,612,22,2.62,,0.62,,1.2,,,10.0,292.0,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,08:00:00,Irrigation Purpose,None,Hyd Sewage,None,Clear,1 mtr,Yes,Clear,Yes,Medium,22 oC,6,7,1478,2.2,37,0.15,7.8,84,5.6,,,,4.7,30,250,182,36,14,,,425.19,240,96,185.19,45,106,58,872.02,619.13,12,,0.15,BDL,7.2,BDL,22.4,1.14,,,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,07:30:00,Irrigation Purpose,None,Sewage & Agricultural runoff,None,Clear,1 mtr,No,Clear,Yes,Medium,23 oC,5.9,7.05,1481,2.6,40,0.15,8.3,84,6.1,,,,6.8,32,255,177,34,12,,,375,230,92,145,35,100,78,873.79,620.39,11,,0.17,BDL,9.2,0.22,30.43,1.56,,,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,Nalgonda,ZL-RCP,2023-10-12 00:00:00,11:30:00,Irrigation Purpose,Fishing,Sewage Runoff,None,Clear,1 mtr,No,Clear,None,Medium,23 oC,7,7.4,1304,3.6,35,0.08,7.8,63,4.5,,,,6.5,22,230,192,36,12,,,385,240,96,145,35,92,54,769.36,546.25,12,,0.12,BDL,8.5,0.27,22.83,1.06,,,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,10:50:00,Irrigation Purpose,Fishing ,Sewage & Agricultural runoff,None,Clear,About 1 mtr,No,Clear,None,Medium,22 oC,6.7,8.3,1323,2.4,34,0.14,5.5,34,3.6,,,,3.5,26,220,196,28,10,,,394.61,230,92,164.61,40,89,65,780.57,554.2,14,,0.13,BDL,5.4,0.52,25.93,1.31,,,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:30:00,Irrigation Purpose,Fishing,Sewage & Agricultural runoff,None,Clear,1 Mtr,No,Clear,None,Medium,23 oC,6.9,8.1,1402,2.5,28,0.13,6.8,41,6.1,,,,3.4,30,255,220,32,12,,,399.61,235,94,164.61,40,92,66,827.18,587.3,10,,0.14,BDL,5.8,0.49,25.97,1.31,,,
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,RR-I,Warangal,06.10.2023,10.15 am,fishing,fishing,none,none,sunny,nil,yes,light green,odourless,,28,6,7.69,444,1.8,0.52,,Less than 1.8,26,Less than 1.8,,,,6,5,142,45,20,1.5,0.4,,150,84,33.6,66,16.04,21,,244,230,10,0.42,,0.5,,0.48,,,10.0,132.0,
1215,Lakes & Tanks ,Madannapet Lake,Warangal Rural,Warangal,Warangal,09.10.2023,01.45 pm,irrigatuon,others,others,none,raining,50 to 100 cm,yes,clear,odourfree,,27,6.1,7.56,344,1.6,0.3,,1.8,17,1.8,,,,8,5,98,32,8,1.5,0.4,,80,50,20,30,7.29,20,,198,120,10,0.2,,0.5,,0.2,,,10.0,88.0,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:55:00,Irrigation,Fishing ,IDA  Khazipally,None,Clear,2 mtrs,No,Clear,None,Low,21 oC,5.8,7.12,1462,3.6,33,0.14,5.5,84,3.7,,,,9.8,40,235,235,44,12,,,350,225,90,125,30,60,85,862.58,612.43,16,,0.16,BDL,7.2,0.3,33.97,1.72,,,
