Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
4240,Lakes  & Tanks,"Muthangi Tank,",Sangareddy,,6.2,6.7,1322,4.7,40,0.18,8.2,39,3.6,5.8,0.53,,10,22,285,224,46,6,0.4,BDL,370,76,190,44,180,83,112,766.76,536.73,8,,0.5,0.5,4.5,0.2,39.36,2.53,,,,,,,,,
4241,Lakes  & Tanks,"Chitkul Tank,",Sangareddy,,6.4,6.66,1666,4,53,0.17,6.8,79,6,5.6,0.57,,10.1,24,220,295,38,6,0.4,BDL,389.61,90,225,40,164.61,60,115,966.28,676.4,7,,1.12,0.5,9.5,0.21,38.47,2.54,,,,,,,,,
4242,Lakes  & Tanks,"Lakadaram Cheruvu,",Sangareddy,,6,7.17,2105,4.5,75,0.13,8.2,39,5.6,5.4,0.59,,10.2,22,350,400,54,8,5,BDL,670,130,325,84,345,115,160,1220.9,854.63,9,,0.5,0.5,4,0.2,34.08,2.69,,,,,,,,,
4238,Lakes  & Tanks,"Ameenpur Cheruvu,",Sangareddy,,6.4,7.38,1603,3.3,49,0.16,7.8,84,6,5.6,0.57,,7.7,22,295,220,28,6,0.4,BDL,375,78,195,44,180,52,95,897.7,628.39,7,,0.9,0.5,8,0.2,34.94,2.13,,,,,,,,,
4239,Lakes  & Tanks,"Mahaboobsagar Tank,",Sangareddy,,6.5,7.22,1227,3.3,44,0.17,6,79,5.5,5.1,0.55,,6.1,20,250,155,34,5,0.4,BDL,270,66,165,26,105,43,99,711.7,498.19,8,,0.4,0.5,7.1,0.2,43.48,2.62,,,,,,,,,
4244,Lakes  & Tanks,"Erdanoor Tank,",Sangareddy,,6.8,6.89,2206,3.7,47,0.12,6,41,3.6,5.6,0.54,,7.9,22,205,449,36,6,0.4,BDL,535.14,112,280,62,255.14,61,170,1279.5,895.65,9,,0.72,0.5,10.3,0.2,40.37,3.2,,,,,,,,,
4245,Lakes  & Tanks,"Mallepally Tank,",Sangareddy,,6.2,6.91,2059,4.1,55,0.16,3.6,32,1.8,4.8,0.44,,5.7,36,390,305,48,6,0.4,BDL,515,120,300,52,215,97,195,1194.2,835.94,8,,0.05,0.5,10.4,0.2,44.68,3.75,,,,,,,,,
4661,Lakes  & Tanks,Peddakanjarla Tank,Sangareddy,,6.1,7.29,600,3.4,19,0.1,1.8,23,Less than 1.8,5.1,0.54,,3.2,14,155,87,30,1.5,0.4,BDL,230,52,130,24,100,33,30,360,252.0,8,,0.05,0.5,7,0.2,21.61,0.86,,,,,,,,,
4666,Lakes  & Tanks,Ismailkhanpet Tank,Sangareddy,,6.4,6.84,1269,3.6,41,0.14,2,32,1.8,6.1,0.55,,4.7,20,225,155,26,6,0.4,BDL,275,60,150,30,125,51,99,710.6,497.42,9,,0.52,0.5,8.5,0.31,43.19,2.61,,,,,,,,,
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,,6,8.14,657,3.1,19,0.11,3.6,41,1.8,7.1,0.68,,3.9,14,125,130,28,5,0.4,BDL,180,40,100,19,80,30,65,407.3,285.11,7,,0.05,0.5,6.1,0.2,43.28,2.12,,,,,,,,,
4234,Lakes  & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,,3.9,7.37,1419,4,2.2,,49,540,9.2,,,,29,5,220,250,69,16.24,8.4,,540,116,290,60.75,250,172,,848,510,18,2.65,8.14,0.5,,1.02,,,0.02,0.03,0.15,0.06,0.1,0.04,0.06,0.0,0.09
4235,Lakes  & Tanks,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,,0.3,7.58,1278,6,2.4,,47,430,9.2,,,,24,5,210,206,61,12.88,5.6,,405,100,250,37.66,155,128,,756,450,22,3.32,10.19,0.5,,1.17,,,0.02,0.03,0.24,0.06,0.1,0.06,1.3,0.0,0.02
5133,Lakes  & Tanks,"Chandana Cheruvu, Jillelguda,",Rangareddy,,2.8,8.01,1164,5,6.9,,21,350,4,,,,30,5,360,116,84,12.88,6.16,,445,112,280,40.09,165,70,,698,420,24,3.81,11.7,0.5,,1.08,,,0.02,0.03,0.2,0.07,0.1,0.04,2.24,0.0,0.15
5134,Lakes  & Tanks,"Manthrala Cheruvu, Meerpet",Rangareddy,,2.7,8.06,1362,4,2.9,,46,540,9.3,,,,28,5,385,129,53,14,5.6,,555,124,310,59.53,245,78,,816,490,20,2.64,8.1,0.5,,1.2,,,0.02,0.03,0.16,0.07,0.1,0.13,0.21,0.0,0.02
4222,Lakes  & Tanks,"Koneru, Kondagattu temple, Jagitiyal",Jagitial dist,,4.2,7.6,705,2.2,0.5,,Less than 1.8,40,Less than 1.8,,,,12,5,150,86,56,3.36,0.56,,180,42,105,18.22,75,50,,446,230,14,0.2,0.61,0.5,,0.68,,,0.02,0.03,0.1,0.1,0.1,0.17,0.51,0.0,0.02
4223,Lakes  & Tanks,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,,2.3,7.67,1032,5.8,0.8,,Less than 1.8,70,Less than 1.8,,,,14,5,210,140,83,1.5,0.4,,250,60,150,24.3,100,78,,620,380,12,0.5,1.53,0.55,,0.82,,,0.02,0.03,0.1,0.1,0.1,0.22,1.49,0.0,0.59
1464,Lakes  & Tanks,Bibinagar Tank,Yadadri Bhuvanagiri,,6,8.24,1529,3.3,51,0.13,4,47,3.6,5.8,0.62,,7.4,30,235,246,30,6,0.4,BDL,489.88,112,280,51,209.88,51,91,886.82,620.77,13,,0.05,0.5,7,0.2,28.49,1.79,,,,,,,,,
4224,Lakes  & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes  & Tanks,Kistaipally Cheruvu,Sangareddy,,4.3,7.46,5080,7.5,95,0.33,7.8,79,3.7,5.2,0.53,,9.9,22,550,1073,78,18,5,BDL,1480,280,700,190,780,160,380,2946.4,2062.48,32,,0.32,0.5,12,0.51,35.66,4.3,,,,,,,,,
4231,Lakes  & Tanks,"Rayam Cheruvu,",Sangareddy,,6,7.1,1894,4.4,45,0.13,5.5,63,3.6,6.1,0.62,,7.6,22,225,354,56,8,0.4,BDL,465,98,245,53,220,74,125,1098.52,768.96,16,,0.51,0.5,6.4,0.39,36.68,2.53,,,,,,,,,
4232,Lakes  & Tanks,"Komati Cheruvu,",Siddipet,,6,7.15,772,3.3,23,0.1,4,41,2,6.5,0.65,,5.5,14,188,124,22,5,0.4,BDL,295,70,175,29,120,45,51,470.9,329.63,8,,0.05,0.5,4,0.31,27.11,1.3,,,,,,,,,
4233,Lakes  & Tanks,"Gaddapotharam cheruvu,",Sangareddy,,5.8,6.74,3760,7.2,95,0.17,7.8,63,5.6,5.1,0.53,,7.8,30,325,841,78,6,0.4,BDL,1125,260,650,115,475,160,315,2180.8,1526.56,8,,0.05,0.5,12,0.2,37.66,4.1,,,,,,,,,
4228,Lakes  & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,,3.9,7.8,1361,4,16.4,,21,350,4,,,,22,5,220,221,68,14,5.6,,240,64,160,19.44,80,139,,858,560,28,2.91,8.93,0.5,,0.71,,,0.02,0.03,0.03,0.12,0.1,0.03,0.84,0.0,0.19
1391,Lakes  & Tanks,Hussain sagar Lake,Hyderabad,,0.3,7.6,1252,6,4,,33,350,6.1,,,,28,5,245,160,71,16.8,6.16,,305,76,190,27.95,115,96,,788,530,20,3.52,10.81,0.58,,1.23,,,0.02,0.03,0.12,0.06,0.1,0.08,5.66,0.0,0.98
3071,Lakes  & Tanks,Langarhouse lake,Hyderabad,,0.3,7.37,1114,12,6.2,,46,430,9.2,,,,26,5,190,155,159,19.04,8.4,,250,60,150,24.3,100,96,,692,460,24,3.86,11.85,0.5,,0.7,,,0.02,0.03,0.07,0.06,0.1,0.1,5.2,0.0,0.26
2341,Lakes  & Tanks,"Miralam tank,kishan bagh",Hyderabad,,2.2,7.66,1280,5.4,5.6,,32,350,4,,,,16,5,180,204,103,11.76,3.92,,130,32,80,12.15,50,128,,794,520,12,2.37,7.28,0.5,,1.32,,,0.02,0.03,0.1,0.06,0.1,0.09,5.13,0.0,0.48
3073,Lakes  & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,,0.3,7.92,959,12,8,,46,540,9.2,,,,28,5,180,153,163,20.16,8.4,,260,58,145,27.95,115,94,,604,400,28,3.72,11.42,0.5,,1.22,,,0.02,0.03,0.1,0.12,0.1,0.07,2.82,0.0,0.48
3072,Lakes  & Tanks,Safilguda lake,Medchal Malkajgiri,Not collected due to growth of water hyacith all over the water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not collected due to growth of water hyacith all over the water,,,,,,,,
3075,Lakes  & Tanks,Rangadhamuni cheruvu,Medchal Malkajgiri,,0.3,7.57,1297,10,6.1,,33,430,6.8,,,,20,5,280,175,123,18.48,5.6,,305,64,160,35.23,145,108,,830,560,36,3.82,11.73,0.5,,1.44,,,0.02,0.03,0.1,0.12,0.1,0.12,6.74,0.0,0.27
3076,Lakes  & Tanks,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,,0.3,7.82,1213,6,9.2,,46,430,9.3,,,,20,5,220,192,79,16.8,5.6,,310,78,195,27.95,115,119,,764,510,18,3.66,11.24,0.5,,1.28,,,0.02,0.03,0.12,0.12,0.1,0.04,1.71,0.0,0.23
3077,Lakes  & Tanks,"Kapra cheruvu, Kapra",Medchal Malkajgiri,,2.3,7.88,758,5.6,9.3,,21,350,4,,,,16,5,105,116,83,7.84,3.36,,220,50,125,23.09,95,70,,478,320,31,3.7,11.36,0.5,,1.03,,,0.02,0.03,0.17,0.13,0.1,0.12,2.37,0.0,0.2
2357,Lakes  & Tanks,Durgam cheruvu,RR-shamshabad,,2.2,8.03,1207,5.4,8.4,,39,430,4.5,,,,18,5,220,180,107,9.52,2.8,,295,62,155,34.02,140,116,,772,520,26,2.9,8.9,0.5,,1.08,,,0.02,0.04,0.1,0.19,0.1,0.23,1.8,0.0,0.02
2344,Lakes  & Tanks,Nalla cheruvu (Nacharam),Medchal Malkajgiri,dry(under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Lakes  & Tanks,"Pedda Cheruvu, Nacharam",Medchal Malkajgiri,,0.3,7.86,1097,10,9.4,,49,540,9.2,,,,32,5,190,148,123,19.6,8.4,,220,64,160,14.58,60,91,,690,450,26,3.14,9.64,0.5,,1.56,,,0.02,0.03,0.1,0.08,0.1,0.1,0.06,0.0,0.26
2342,Lakes  & Tanks,Noor Md. Kunta,RR-shamshabad,,0.3,7.52,2090,18,4.9,,46,540,9.2,,,,32,5,460,280,244,20.16,10.04,,520,154,385,32.8,135,212,,1290,780,25,3.94,12.1,0.54,,1.83,,,0.02,0.03,0.12,0.11,0.1,0.11,0.06,0.0,0.42
3070,Lakes  & Tanks,"Fox sagar, Jeedimetla",Medchal Malkajgiri,,3.1,7.67,1284,4.4,11.4,,26,280,2,,,,18,5,240,206,71,11.2,3.36,,395,80,200,47.38,195,104,,796,520,11,2.96,9.09,0.5,,0.69,,,0.02,0.03,0.1,0.07,0.1,0.11,0.4,0.0,0.33
3074,Lakes  & Tanks,Banjara Lake,Hyderabad,,0.3,7.4,1006,16,9.8,,17,350,6.8,,,,26,5,205,148,222,12.88,5.04,,190,52,130,14.58,60,88,,642,430,20,3.84,11.79,0.5,,1.04,,,0.02,0.03,0.1,0.08,0.1,0.05,1.33,0.0,0.15
4237,Lakes  & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,,0.3,7.75,819,6,2,,47,540,9.2,,,,28,5,220,97,80,14,4.48,,290,60,150,34.02,140,59,,490,290,24,3.48,10.68,0.5,,0.78,,,0.02,0.03,0.1,0.08,0.1,0.08,0.89,0.0,0.04
4669,Lakes  & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,,0.9,7.5,1152,5.8,9.9,,47,540,9.3,,,,32,5,240,162,127,16.7,5.6,,290,62,155,32.8,135,102,,738,480,33,3.1,9.52,0.5,,1.22,,,0.02,0.03,0.1,0.07,0.1,0.11,5.15,0.0,0.21
4671,Lakes  & Tanks,"Medi Kunta, Guttala Begumpet (V)",Rangareddy,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up,,,,,,,,
4672,Lakes  & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,,2.2,7.92,1118,2,10.7,,14,350,2,,,,28,5,110,212,32,8.4,2.8,,190,40,100,21.87,90,163,,704,470,18,3.12,9.58,0.5,,0.92,,,0.02,0.03,0.1,0.06,0.1,0.12,2.22,0.0,0.38
4673,Lakes  & Tanks,Medikunta lake (BK Enclave),Rangareddy,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up,,,,,,,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,,4.8,8.07,946,4,6.6,,11,210,2,,,,8,5,180,143,63,7.84,3.36,,240,54,135,25.52,105,87,,602,400,12,2.14,6.57,0.5,,0.68,,,0.02,0.03,0.1,0.06,0.1,0.15,1.03,0.0,0.02
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,,0.3,7.39,1142,10,8.2,,46,430,9.2,,,,16,5,240,146,111,16.8,4.48,,345,84,210,32.8,135,90,,720,480,36,3.2,9.82,0.5,,1.26,,,0.02,0.18,0.1,0.06,0.1,0.06,1.6,0.0,0.37
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,,0.3,7.6,1755,6,1.5,,49,540,9.3,,,,21,5,280,280,71,18.48,7.28,,430,128,320,26.73,110,168,,1088,740,24,2.81,8.63,0.5,,0.32,,,0.02,0.03,0.1,0.07,0.1,0.05,0.57,0.0,0.16
5044,Lakes  & Tanks,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,,0.3,7.6,1049,10,10.6,,49,540,9.3,,,,24,5,240,140,119,16.8,5.6,,325,80,200,30.38,125,96,,672,460,22,3.42,10.5,0.5,,0.82,,,0.02,0.03,0.1,0.07,0.1,0.08,8.09,0.0,0.29
5052,Lakes  & Tanks,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,,4.9,7.68,570,4,19,,17,280,4.5,,,,18,5,130,70,44,10.04,2.8,,180,50,125,13.37,55,44,,364,240,37,3.51,10.78,0.5,,0.2,,,0.02,0.03,0.12,0.09,0.1,0.01,0.33,0.0,0.02
5053,Lakes  & Tanks,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,,0.8,7.65,1080,5.4,3.7,,33,430,9,,,,12,5,195,175,76,14,5.6,,250,68,170,90,80,90,,680,420,22,3.06,9.39,0.5,,0.45,,,0.02,0.03,0.1,0.07,0.1,0.04,1.23,0.0,0.08
5054,Lakes  & Tanks,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,,4.2,7.94,453,2,8.9,,11,210,2,,,,18,5,110,53,28,5.6,2.24,,150,32,80,17.01,70,31,,290,200,24,3.32,10.19,0.5,,1.74,,,0.02,0.03,0.1,0.09,0.1,0.1,1.35,0.0,0.02
5055,Lakes  & Tanks,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,,4.3,8.06,834,4,9.2,,14,220,6.1,,,,20,5,100,143,68,16.24,6.72,,200,42,105,23.09,95,88,,534,340,30,3.26,10.01,0.5,,0.73,,,0.02,0.03,0.12,0.1,0.1,0.11,0.06,0.0,0.02
5056,Lakes  & Tanks,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,dried up(under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up(under renovation),,,,,,,,
5057,Lakes  & Tanks,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up(under renovation),,,,,,,,
5058,Lakes  & Tanks,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,,4.4,8.02,1302,1,6.4,,49,540,9.3,,,,14,5,220,180,12,14,6.16,,240,60,150,21.87,90,105,,810,560,42,2.82,8.66,0.5,,1.26,,,0.02,0.03,0.1,0.09,0.1,0.15,8.58,0.0,0.37
5059,Lakes  & Tanks,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,,0.8,7.45,1151,5.4,9.4,,33,430,6.8,,,,19,5,250,172,64,14,6.16,,375,80,200,42.52,175,108,,725,460,33,3.18,9.76,0.5,,1.18,,,0.02,0.03,0.1,0.08,0.1,0.01,6.08,0.0,0.12
5060,Lakes  & Tanks,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,not colected due to water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061,Lakes  & Tanks,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,,0.3,7.83,1289,8,10.3,,21,350,6.8,,,,19,5,330,142,107,13.44,5.6,,410,90,225,44.95,185,82,,824,540,40,3.78,11.6,0.5,,1.08,,,0.02,0.03,0.1,0.09,0.1,0.31,2.48,0.0,0.51
5062,Lakes  & Tanks,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,dried up(under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5063,Lakes  & Tanks,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,Lakes  & Tanks,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Rangareddy ,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,Lakes  & Tanks,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Rangareddy ,,3,8.05,1538,14,6.2,,49,540,9.3,,,,36,5,320,211,183,19.6,7.84,,335,68,170,40.09,165,132,,968,620,46,3.74,11.48,0.5,,1.16,,,0.02,0.03,0.26,0.08,0.1,0.1,3,0.0,0.31
5116,Lakes  & Tanks,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Rangareddy ,,0.3,7.49,1163,10,9.1,,17,350,6.8,,,,16,5,240,182,132,12.88,4.48,,295,60,150,35.23,145,112,,732,460,32,3.4,10.44,0.5,,1.08,,,0.02,0.03,0.12,0.09,0.1,0.08,0.06,0.0,0.09
5118,Lakes  & Tanks,"Kotha Kunta, Haffezpet, Serilingampally (M)",Rangareddy ,,4.9,7.41,580,1.2,10.9,,14,350,2,,,,14,5,110,70,36,6.72,2.24,,215,48,120,23.09,95,42,,340,200,28,3.52,10.81,0.5,,1.15,,,0.02,0.03,0.31,0.08,0.1,0.06,2.45,0.0,0.46
5119,Lakes  & Tanks,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Rangareddy ,,0.3,7.98,1212,10,6.1,,46,540,9.3,,,,28,5,340,146,139,16.8,8.4,,300,64,160,34.02,140,87,,764,500,38,3.62,11.11,0.5,,1.11,,,0.02,0.03,0.22,0.09,0.1,0.06,0.7,0.0,0.24
5120,Lakes  & Tanks,"Thammidi Kunta, Khanamet, Serilingampally",Rangareddy ,,0.3,7.18,1054,10,15,,21,350,4.5,,,,22,5,260,120,120,11.2,5.6,,325,68,170,37.66,155,87,,632,380,19,3.72,11.42,0.5,,0.66,,,0.02,0.03,0.1,0.08,0.1,0.3,1.27,0.0,0.19
5124,Lakes  & Tanks,TCS Synergy Park Lake,Rangareddy,,4.1,8.19,821,1.8,2.6,,Less than 1.8,46,Less than 1.8,,,,6,5,220,96,22,2.24,0.4,,250,58,145,25.52,105,54,,492,290,10,3.62,11.11,0.5,,0.52,,,0.02,0.03,0.1,0.06,0.1,0.1,1.93,0.0,0.02
5125,Lakes  & Tanks,"Mondi Kunta, Khanamet, Serilingmampally",Rangareddy ,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up,,,,,,,,
5131,Lakes  & Tanks,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Rangareddy ,dried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried,,,,,,,,
